Filename,FilePath,Classification,Confidence,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,LBP_Mean,LBP_Std,LBP_Entropy
figura1_exterior1_0.tif,D:\Project\Gargon\data\figura1_exterior1_0.tif,kasar,0.992243647201185,102.81349025915678,0.26179158472432473,0.08520883170381588,0.987999118307968,5.014007568359375,2.495195398579269,3.182901303177623
figura1_exterior1_1.tif,D:\Project\Gargon\data\figura1_exterior1_1.tif,kasar,0.9924119009336794,103.74195438653446,0.2558622036687085,0.0789841878543273,0.9878508765733971,4.9995574951171875,2.498378951880047,3.1900810745450263
figura1_exterior1_10.tif,D:\Project\Gargon\data\figura1_exterior1_10.tif,kasar,0.9935293162657941,118.04810398945256,0.234377280020934,0.06525260928098908,0.9853765520096197,4.904327392578125,2.4356216870008978,3.1619712450868493
figura1_exterior1_11.tif,D:\Project\Gargon\data\figura1_exterior1_11.tif,kasar,0.9937560501409987,123.55763469879611,0.23711022075714094,0.07112692507790765,0.9849091474060534,4.9284210205078125,2.444018049854618,3.168932660290868
figura1_exterior1_12.tif,D:\Project\Gargon\data\figura1_exterior1_12.tif,kasar,0.9941280775605038,130.93907069997314,0.23429418147680253,0.06891809242725527,0.983943374474194,4.9171142578125,2.446734076128606,3.169313004552096
figura1_exterior1_13.tif,D:\Project\Gargon\data\figura1_exterior1_13.tif,kasar,0.9937281334214143,124.7582664720318,0.2424523703415204,0.07773759359161268,0.984996567743832,4.9327239990234375,2.433134048524873,3.158423071638914
figura1_exterior1_14.tif,D:\Project\Gargon\data\figura1_exterior1_14.tif,kasar,0.9933167376918012,117.14426225790714,0.24419769789122367,0.07680833800441872,0.9862120059821344,4.9191741943359375,2.4064239540770744,3.1417782497595392
figura1_exterior1_15.tif,D:\Project\Gargon\data\figura1_exterior1_15.tif,kasar,0.9941518443382704,131.82508073818008,0.2352223201705041,0.07020784390586655,0.9842943594591824,4.91937255859375,2.443271052184403,3.1686684110979804
figura1_exterior1_16.tif,D:\Project\Gargon\data\figura1_exterior1_16.tif,kasar,0.9937235118493817,123.97443929318015,0.23954845616348264,0.07660356408694721,0.9853414067563231,4.9353790283203125,2.4480170814346325,3.16497343171097
figura1_exterior1_17.tif,D:\Project\Gargon\data\figura1_exterior1_17.tif,kasar,0.9940048270619222,130.39762403582952,0.24076591650808252,0.07768230573159358,0.9839683322334261,4.94549560546875,2.4451044187586413,3.1625353997040366
figura1_exterior1_18.tif,D:\Project\Gargon\data\figura1_exterior1_18.tif,kasar,0.9939898848900938,127.91916360294329,0.23537455104149563,0.0703219581891769,0.984935463890708,4.9433746337890625,2.4837633855112213,3.1859632410229506
figura1_exterior1_19.tif,D:\Project\Gargon\data\figura1_exterior1_19.tif,kasar,0.9940820698137568,128.7964276660441,0.23049052982552481,0.06713168577461437,0.9840630168388378,4.923736572265625,2.474130174436857,3.1843858393470743
figura1_exterior1_20.tif,D:\Project\Gargon\data\figura1_exterior1_20.tif,kasar,0.9937826412784079,126.02684464809406,0.2437933799233708,0.07903309023096661,0.9847966280149573,4.9609527587890625,2.4729773627323457,3.1748191299422226
figura1_exterior1_21.tif,D:\Project\Gargon\data\figura1_exterior1_21.tif,kasar,0.9935113864828715,121.10871892721715,0.2466298195071572,0.08166480142834878,0.9859241668987808,4.9955596923828125,2.503658540882188,3.18724141634451
figura1_exterior1_22.tif,D:\Project\Gargon\data\figura1_exterior1_22.tif,kasar,0.9937775074924011,124.92887305964132,0.24021914261281474,0.07688288724638957,0.9855154136630236,4.9581451416015625,2.480060227565428,3.1870858492981022
figura1_exterior1_23.tif,D:\Project\Gargon\data\figura1_exterior1_23.tif,kasar,0.9946227770298431,139.49237393670828,0.22086969551190655,0.06259632113493593,0.9842292774457517,4.933258056640625,2.521641166999379,3.206078354518999
figura1_exterior1_24.tif,D:\Project\Gargon\data\figura1_exterior1_24.tif,kasar,0.9955633909153573,162.34300620554802,0.1970531231815716,0.04735276494460594,0.9819422757420138,4.84844970703125,2.498225696328263,3.2007713115594707
figura1_exterior1_25.tif,D:\Project\Gargon\data\figura1_exterior1_25.tif,kasar,0.994486501805475,153.51567583681634,0.2671163599591073,0.12775494877137356,0.9826765350873847,5.1230926513671875,2.5355204006493586,3.1745199802871458
figura1_exterior1_5.tif,D:\Project\Gargon\data\figura1_exterior1_5.tif,kasar,0.99334047499539,113.83310983155661,0.2356577709806103,0.06072058526010012,0.9862254423191006,4.917266845703125,2.483328877741295,3.1933148312276582
